,OTU_ID,Bet_RAW,Date,Sample_type,Genotype,Betweenness_log,combine
1,Otu3,2461.600247,4,Soil near roots,WT,3.391235169,4Soil near rootsWT
2,Otu12,1346.402469,4,Soil near roots,WT,3.129207154,4Soil near rootsWT
3,Otu15,20.39444444,4,Soil near roots,WT,1.31163615,4Soil near rootsWT
4,Otu9,3392.737964,4,Soil near roots,WT,3.530563119,4Soil near rootsWT
5,Otu14,2708.207845,4,Soil near roots,WT,3.432698028,4Soil near rootsWT
6,Otu40,522.353007,4,Soil near roots,WT,2.718047233,4Soil near rootsWT
7,Otu24,14799.9118,4,Soil near roots,WT,4.170262062,4Soil near rootsWT
8,Otu68,0,4,Soil near roots,WT,-1,4Soil near rootsWT
9,Otu26,8540.45119,4,Soil near roots,WT,3.9314859,4Soil near rootsWT
10,Otu16,79.85746182,4,Soil near roots,WT,1.902858999,4Soil near rootsWT
11,Otu10,1454.471727,4,Soil near roots,WT,3.162735142,4Soil near rootsWT
12,Otu19,11,4,Soil near roots,WT,1.045322979,4Soil near rootsWT
13,Otu44,136.3959457,4,Soil near roots,WT,2.135119752,4Soil near rootsWT
14,Otu71,15613.13844,4,Soil near roots,WT,4.193492992,4Soil near rootsWT
15,Otu65,2246.088125,4,Soil near roots,WT,3.351446127,4Soil near rootsWT
16,Otu29,1401.86095,4,Soil near roots,WT,3.146735917,4Soil near rootsWT
17,Otu1055,0,4,Soil near roots,WT,-1,4Soil near rootsWT
18,Otu159,9680.933423,4,Soil near roots,WT,3.98592172,4Soil near rootsWT
19,Otu20,4808.014972,4,Soil near roots,WT,3.681974844,4Soil near rootsWT
20,Otu54,0,4,Soil near roots,WT,-1,4Soil near rootsWT
21,Otu77,445,4,Soil near roots,WT,2.648457594,4Soil near rootsWT
22,Otu69,348.0876717,4,Soil near roots,WT,2.54181339,4Soil near rootsWT
23,Otu48,8233.533438,4,Soil near roots,WT,3.915591528,4Soil near rootsWT
24,Otu116,122.2684982,4,Soil near roots,WT,2.08766963,4Soil near rootsWT
25,Otu87,107.2365079,4,Soil near roots,WT,2.030747462,4Soil near rootsWT
26,Otu49,2148.507966,4,Soil near roots,WT,3.332157181,4Soil near rootsWT
27,Otu37,1984.492647,4,Soil near roots,WT,3.297671378,4Soil near rootsWT
28,Otu32,614.3274193,4,Soil near roots,WT,2.788470588,4Soil near rootsWT
29,Otu238,1352.530956,4,Soil near roots,WT,3.131179322,4Soil near rootsWT
30,Otu105,50477.34263,4,Soil near roots,WT,4.703097344,4Soil near rootsWT
31,Otu430,2108.604975,4,Soil near roots,WT,3.324015823,4Soil near rootsWT
32,Otu33,618.0465813,4,Soil near roots,WT,2.791091472,4Soil near rootsWT
33,Otu425,0,4,Soil near roots,WT,-1,4Soil near rootsWT
34,Otu99,0,4,Soil near roots,WT,-1,4Soil near rootsWT
35,Otu200,319.5,4,Soil near roots,WT,2.504606771,4Soil near rootsWT
36,Otu35,0,4,Soil near roots,WT,-1,4Soil near rootsWT
37,Otu64,5,4,Soil near roots,WT,0.707570176,4Soil near rootsWT
38,Otu60,0,4,Soil near roots,WT,-1,4Soil near rootsWT
39,Otu61,0,4,Soil near roots,WT,-1,4Soil near rootsWT
40,Otu42,9,4,Soil near roots,WT,0.959041392,4Soil near rootsWT
41,Otu250,94.92876691,4,Soil near roots,WT,1.977855094,4Soil near rootsWT
42,Otu184,0,4,Soil near roots,WT,-1,4Soil near rootsWT
43,Otu58,0,4,Soil near roots,WT,-1,4Soil near rootsWT
44,Otu9870,0,4,Soil near roots,WT,-1,4Soil near rootsWT
45,Otu115,831.4285714,4,Soil near roots,WT,2.919877176,4Soil near rootsWT
46,Otu80,1021.076876,4,Soil near roots,WT,3.009100972,4Soil near rootsWT
47,Otu70,888,4,Soil near roots,WT,2.94846187,4Soil near rootsWT
48,Otu141,0,4,Soil near roots,WT,-1,4Soil near rootsWT
49,Otu196,0,4,Soil near roots,WT,-1,4Soil near rootsWT
50,Otu265,1106.5,4,Soil near roots,WT,3.043990666,4Soil near rootsWT
51,Otu161,0,4,Soil near roots,WT,-1,4Soil near rootsWT
52,Otu62,0,4,Soil near roots,WT,-1,4Soil near rootsWT
53,Otu148,1118.043581,4,Soil near roots,WT,3.048497575,4Soil near rootsWT
54,Otu47,0,4,Soil near roots,WT,-1,4Soil near rootsWT
55,Otu57,1768,4,Soil near roots,WT,3.247506824,4Soil near rootsWT
56,Otu2357,0,4,Soil near roots,WT,-1,4Soil near rootsWT
57,Otu118,0,4,Soil near roots,WT,-1,4Soil near rootsWT
58,Otu149,32603.96557,4,Soil near roots,WT,4.513271758,4Soil near rootsWT
59,Otu94,6647.411295,4,Soil near roots,WT,3.822659084,4Soil near rootsWT
60,Otu100,202.2090011,4,Soil near roots,WT,2.306015206,4Soil near rootsWT
61,Otu963,445,4,Soil near roots,WT,2.648457594,4Soil near rootsWT
62,Otu832,1899.821626,4,Soil near roots,WT,3.278735686,4Soil near rootsWT
63,Otu197,338.9488019,4,Soil near roots,WT,2.530262214,4Soil near rootsWT
64,Otu88,50084,4,Soil near roots,WT,4.699699874,4Soil near rootsWT
65,Otu166,0,4,Soil near roots,WT,-1,4Soil near rootsWT
66,Otu72,0,4,Soil near roots,WT,-1,4Soil near rootsWT
67,Otu122,13.6031746,4,Soil near roots,WT,1.136821191,4Soil near rootsWT
68,Otu145,211.7135215,4,Soil near roots,WT,2.325953681,4Soil near rootsWT
69,Otu96,24,4,Soil near roots,WT,1.382017043,4Soil near rootsWT
70,Otu111,6828.712317,4,Soil near roots,WT,3.834345177,4Soil near rootsWT
71,Otu1821,0,4,Soil near roots,WT,-1,4Soil near rootsWT
72,Otu193,937.2919025,4,Soil near roots,WT,2.971921198,4Soil near rootsWT
73,Otu56,0,4,Soil near roots,WT,-1,4Soil near rootsWT
74,Otu107,0,4,Soil near roots,WT,-1,4Soil near rootsWT
75,Otu183,1318,4,Soil near roots,WT,3.11994836,4Soil near rootsWT
76,Otu176,0,4,Soil near roots,WT,-1,4Soil near rootsWT
77,Otu144,1087.100094,4,Soil near roots,WT,3.036309481,4Soil near rootsWT
78,Otu296,2,4,Soil near roots,WT,0.322219295,4Soil near rootsWT
79,Otu190,0,4,Soil near roots,WT,-1,4Soil near rootsWT
80,Otu1410,11281.71429,4,Soil near roots,WT,4.052378946,4Soil near rootsWT
81,Otu1257,1802.666008,4,Soil near roots,WT,3.255939361,4Soil near rootsWT
82,Otu132,1,4,Soil near roots,WT,0.041392685,4Soil near rootsWT
83,Otu242,0,4,Soil near roots,WT,-1,4Soil near rootsWT
84,Otu162,661.5,4,Soil near roots,WT,2.820595497,4Soil near rootsWT
85,Otu297,0,4,Soil near roots,WT,-1,4Soil near rootsWT
86,Otu156,920.694495,4,Soil near roots,WT,2.964162714,4Soil near rootsWT
87,Otu97,15090.67857,4,Soil near roots,WT,4.178711647,4Soil near rootsWT
88,Otu106,0,4,Soil near roots,WT,-1,4Soil near rootsWT
89,Otu81,7,4,Soil near roots,WT,0.851258349,4Soil near rootsWT
90,Otu82,0,4,Soil near roots,WT,-1,4Soil near rootsWT
91,Otu248,5,4,Soil near roots,WT,0.707570176,4Soil near rootsWT
92,Otu85,546.8449215,4,Soil near roots,WT,2.737943594,4Soil near rootsWT
93,Otu102,0,4,Soil near roots,WT,-1,4Soil near rootsWT
94,Otu101,445,4,Soil near roots,WT,2.648457594,4Soil near rootsWT
95,Otu388,129.2817559,4,Soil near roots,WT,2.111873041,4Soil near rootsWT
96,Otu157,0,4,Soil near roots,WT,-1,4Soil near rootsWT
97,Otu204,210.4219836,4,Soil near roots,WT,2.323297454,4Soil near rootsWT
98,Otu185,0,4,Soil near roots,WT,-1,4Soil near rootsWT
99,Otu117,0,4,Soil near roots,WT,-1,4Soil near rootsWT
100,Otu313,29,4,Soil near roots,WT,1.463892989,4Soil near rootsWT
101,Otu171,0,4,Soil near roots,WT,-1,4Soil near rootsWT
102,Otu1786,890.195161,4,Soil near roots,WT,2.949534013,4Soil near rootsWT
103,Otu147,1784.25,4,Soil near roots,WT,3.251480045,4Soil near rootsWT
104,Otu340,109.3531481,4,Soil near roots,WT,2.039228257,4Soil near rootsWT
105,Otu286,171.0297619,4,Soil near roots,WT,2.233325546,4Soil near rootsWT
106,Otu231,3859.826984,4,Soil near roots,WT,3.586579089,4Soil near rootsWT
107,Otu259,0,4,Soil near roots,WT,-1,4Soil near rootsWT
108,Otu308,47881,4,Soil near roots,WT,4.680164119,4Soil near rootsWT
109,Otu752,1005.717547,4,Soil near roots,WT,3.002519208,4Soil near rootsWT
110,Otu365,0,4,Soil near roots,WT,-1,4Soil near rootsWT
111,Otu112,35417.67345,4,Soil near roots,WT,4.549221256,4Soil near rootsWT
112,Otu11219,445,4,Soil near roots,WT,2.648457594,4Soil near rootsWT
113,Otu413,0,4,Soil near roots,WT,-1,4Soil near rootsWT
114,Otu168,0,4,Soil near roots,WT,-1,4Soil near rootsWT
115,Otu303,0,4,Soil near roots,WT,-1,4Soil near rootsWT
116,Otu304,6,4,Soil near roots,WT,0.785329835,4Soil near rootsWT
117,Otu191,0,4,Soil near roots,WT,-1,4Soil near rootsWT
118,Otu347,7396.244492,4,Soil near roots,WT,3.869017131,4Soil near rootsWT
119,Otu374,827.5493673,4,Soil near roots,WT,2.917846387,4Soil near rootsWT
120,Otu8564,7622.491198,4,Soil near roots,WT,3.882102629,4Soil near rootsWT
121,Otu208,445,4,Soil near roots,WT,2.648457594,4Soil near rootsWT
122,Otu155,2646.644818,4,Soil near roots,WT,3.422712071,4Soil near rootsWT
123,Otu120,50,4,Soil near roots,WT,1.699837726,4Soil near rootsWT
124,Otu154,0,4,Soil near roots,WT,-1,4Soil near rootsWT
125,Otu241,0,4,Soil near roots,WT,-1,4Soil near rootsWT
126,Otu212,5619.324997,4,Soil near roots,WT,3.749691879,4Soil near rootsWT
127,Otu173,0,4,Soil near roots,WT,-1,4Soil near rootsWT
128,Otu606,889,4,Soil near roots,WT,2.94895061,4Soil near rootsWT
129,Otu361,1280.089486,4,Soil near roots,WT,3.107274256,4Soil near rootsWT
130,Otu125,889,4,Soil near roots,WT,2.94895061,4Soil near rootsWT
131,Otu511,0,4,Soil near roots,WT,-1,4Soil near rootsWT
