,OTU_ID,Closeness_RAW,Date,Sample_type,Genotype,CLose_log,combine
1,Otu3,1.07E-05,4,Soil near roots,WT,-4.970667596,4Soil near rootsWT
2,Otu12,1.05E-05,4,Soil near roots,WT,-4.979789582,4Soil near rootsWT
3,Otu15,1.04E-05,4,Soil near roots,WT,-4.984018463,4Soil near rootsWT
4,Otu9,1.07E-05,4,Soil near roots,WT,-4.972087073,4Soil near rootsWT
5,Otu14,1.04E-05,4,Soil near roots,WT,-4.981320173,4Soil near rootsWT
6,Otu40,1.07E-05,4,Soil near roots,WT,-4.972128752,4Soil near rootsWT
7,Otu24,1.07E-05,4,Soil near roots,WT,-4.970411969,4Soil near rootsWT
8,Otu68,2.82E-06,4,Soil near roots,WT,-5.549033931,4Soil near rootsWT
9,Otu26,1.05E-05,4,Soil near roots,WT,-4.978714494,4Soil near rootsWT
10,Otu16,1.06E-05,4,Soil near roots,WT,-4.97627201,4Soil near rootsWT
11,Otu10,1.06E-05,4,Soil near roots,WT,-4.973224866,4Soil near rootsWT
12,Otu19,2.85E-06,4,Soil near roots,WT,-5.545373926,4Soil near rootsWT
13,Otu44,1.06E-05,4,Soil near roots,WT,-4.973995575,4Soil near rootsWT
14,Otu71,1.05E-05,4,Soil near roots,WT,-4.978381406,4Soil near rootsWT
15,Otu65,1.07E-05,4,Soil near roots,WT,-4.971924949,4Soil near rootsWT
16,Otu29,1.04E-05,4,Soil near roots,WT,-4.981628364,4Soil near rootsWT
17,Otu1055,1.05E-05,4,Soil near roots,WT,-4.979338916,4Soil near rootsWT
18,Otu159,1.07E-05,4,Soil near roots,WT,-4.971568064,4Soil near rootsWT
19,Otu20,1.05E-05,4,Soil near roots,WT,-4.979812331,4Soil near rootsWT
20,Otu54,2.84E-06,4,Soil near roots,WT,-5.546113092,4Soil near rootsWT
21,Otu77,1.03E-05,4,Soil near roots,WT,-4.987272898,4Soil near rootsWT
22,Otu69,1.07E-05,4,Soil near roots,WT,-4.972323202,4Soil near rootsWT
23,Otu48,1.05E-05,4,Soil near roots,WT,-4.979616655,4Soil near rootsWT
24,Otu116,1.04E-05,4,Soil near roots,WT,-4.983720983,4Soil near rootsWT
25,Otu87,1.04E-05,4,Soil near roots,WT,-4.983269866,4Soil near rootsWT
26,Otu49,1.04E-05,4,Soil near roots,WT,-4.981438037,4Soil near rootsWT
27,Otu37,1.07E-05,4,Soil near roots,WT,-4.971721051,4Soil near rootsWT
28,Otu32,1.05E-05,4,Soil near roots,WT,-4.978928813,4Soil near rootsWT
29,Otu238,1.04E-05,4,Soil near roots,WT,-4.981243092,4Soil near rootsWT
30,Otu105,1.07E-05,4,Soil near roots,WT,-4.969932844,4Soil near rootsWT
31,Otu430,1.07E-05,4,Soil near roots,WT,-4.971860083,4Soil near rootsWT
32,Otu33,1.06E-05,4,Soil near roots,WT,-4.975178971,4Soil near rootsWT
