,OTU_ID,Degree_RAW,Date,Sample_type,Genotype,Degree_norm(n),Degree_norm,Degree_norm_log,combine,Total_node
1,Otu3,28,4,Soil near roots,WT,0.046979866,0.047058824,-1.328088228,4Soil near rootsWT,596
2,Otu12,10,4,Soil near roots,WT,0.016778523,0.016806723,-1.77524626,4Soil near rootsWT,596
3,Otu15,4,4,Soil near roots,WT,0.006711409,0.006722689,-2.173186268,4Soil near rootsWT,596
4,Otu9,10,4,Soil near roots,WT,0.016778523,0.016806723,-1.77524626,4Soil near rootsWT,596
5,Otu14,16,4,Soil near roots,WT,0.026845638,0.026890756,-1.571126277,4Soil near rootsWT,596
6,Otu40,12,4,Soil near roots,WT,0.020134228,0.020168067,-1.696065014,4Soil near rootsWT,596
7,Otu24,56,4,Soil near roots,WT,0.093959732,0.094117647,-1.027058233,4Soil near rootsWT,596
8,Otu68,2,4,Soil near roots,WT,0.003355705,0.003361345,-2.474216264,4Soil near rootsWT,596
9,Otu26,22,4,Soil near roots,WT,0.036912752,0.03697479,-1.432823579,4Soil near rootsWT,596
10,Otu16,8,4,Soil near roots,WT,0.013422819,0.013445378,-1.872156273,4Soil near rootsWT,596
11,Otu10,22,4,Soil near roots,WT,0.036912752,0.03697479,-1.432823579,4Soil near rootsWT,596
12,Otu19,6,4,Soil near roots,WT,0.010067114,0.010084034,-1.997095009,4Soil near rootsWT,596
13,Otu44,4,4,Soil near roots,WT,0.006711409,0.006722689,-2.173186268,4Soil near rootsWT,596
14,Otu71,14,4,Soil near roots,WT,0.023489933,0.023529412,-1.629118224,4Soil near rootsWT,596
15,Otu65,24,4,Soil near roots,WT,0.040268456,0.040336134,-1.395035018,4Soil near rootsWT,596
16,Otu29,6,4,Soil near roots,WT,0.010067114,0.010084034,-1.997095009,4Soil near rootsWT,596
17,Otu1055,2,4,Soil near roots,WT,0.003355705,0.003361345,-2.474216264,4Soil near rootsWT,596
18,Otu159,34,4,Soil near roots,WT,0.05704698,0.057142857,-1.243767343,4Soil near rootsWT,596
19,Otu20,26,4,Soil near roots,WT,0.043624161,0.043697479,-1.360272912,4Soil near rootsWT,596
20,Otu54,2,4,Soil near roots,WT,0.003355705,0.003361345,-2.474216264,4Soil near rootsWT,596
21,Otu77,4,4,Soil near roots,WT,0.006711409,0.006722689,-2.173186268,4Soil near rootsWT,596
22,Otu69,12,4,Soil near roots,WT,0.020134228,0.020168067,-1.696065014,4Soil near rootsWT,596
23,Otu48,24,4,Soil near roots,WT,0.040268456,0.040336134,-1.395035018,4Soil near rootsWT,596
24,Otu116,10,4,Soil near roots,WT,0.016778523,0.016806723,-1.77524626,4Soil near rootsWT,596
25,Otu87,6,4,Soil near roots,WT,0.010067114,0.010084034,-1.997095009,4Soil near rootsWT,596
26,Otu49,10,4,Soil near roots,WT,0.016778523,0.016806723,-1.77524626,4Soil near rootsWT,596
27,Otu37,32,4,Soil near roots,WT,0.053691275,0.053781513,-1.270096281,4Soil near rootsWT,596
28,Otu32,8,4,Soil near roots,WT,0.013422819,0.013445378,-1.872156273,4Soil near rootsWT,596
29,Otu238,10,4,Soil near roots,WT,0.016778523,0.016806723,-1.77524626,4Soil near rootsWT,596
30,Otu105,16,4,Soil near roots,WT,0.026845638,0.026890756,-1.571126277,4Soil near rootsWT,596
