"","variable","value"
"1","FA1",1
"2","FA1",0.04
"3","FA1",0.39
"4","FA1",0.77
"5","FA1",0.52
"6","FA1",0.17
"7","FA1",0.4
"8","FA1",0.85
"9","FA1",1
"10","FA1",1
"11","FA1",0.95
"12","FA1",0.86
"13","FA1",0.71
"14","FA1",0.91
"15","FA1",0.2
"16","FA1",0.4
"17","FA1",0.29
"18","FA1",0.68
"19","FA1",0.68
"20","FA1",0.97
"21","FA1",0.25
"22","FA1",0.34
"23","FA1",0.58
"24","FA1",0.72
"25","FA1",0.79
"26","FA1",0.84
"27","FA1",0.82
"28","FA1",0.61
"29","FA1",0.32
"30","FA1",0.85
"31","FA1",0.37
"32","FA1",0.3
"33","FA1",0.62
"34","FA1",0.55
"35","FA1",0.87
"36","FA1",0.64
"37","FA1",0.87
"38","FA1",0.93
"39","FA1",0.31
"40","FA1",0.71
"41","FA1",0.5
"42","FA1",0.8
"43","FA1",0.69
"44","FA1",0.84
"45","FA1",1
"46","FA1",0.49
"47","FA1",1
"48","FA1",0.94
"49","FA1",0.37
"50","FA1",0.9
"51","FA1",0.85
"52","FA1",0.44
"53","FA1",0.41
"54","FA1",0.78
"55","FA1",0.74
"56","FA1",0.34
"57","FA1",0.22
"58","FA1",0.92
"59","FA1",0.19
"60","FA1",0.53
"61","FA1",0.91
"62","FA1",0.66
"63","FA1",0.88
"64","FA1",0.75
"65","FA1",0.34
"66","FA1",0.42
"67","FA1",0.6
"68","FA1",0.31
"69","FA1",0.91
"70","FA1",0.79
"71","FA1",0.42
"72","FA1",0.28
"73","FA1",0.61
"74","FA1",0.48
"75","FA1",0.75
"76","FA1",0.91
"77","FA1",0.15
"78","FA1",0.2
"79","FA1",0.57
"80","FA1",0.56
"81","FA1",0.76
"82","FA1",0.35
"83","FA1",0.69
"84","FA1",0.94
"85","FA1",0.87
"86","FA1",0.66
"87","FA1",0.57
"88","FA1",0.27
"89","FA1",0.85
"90","FA1",0.81
"91","FA1",0.73
"92","FA1",0.83
"93","FA1",0.41
"94","FA1",0.7
"95","FA1",0.81
"96","FA1",0.46
"97","FA1",0.73
"98","FA1",0.48
"99","FA1",0.74
"100","FA1",0.62
"101","FA1",0.95
"102","FA1",0.57
"103","FA1",0.26
"104","FA1",0.86
"105","FA1",0.41
"106","FA1",0.95
"107","FA1",0.62
"108","FA1",0.04
"109","FA1",0.65
"110","FA1",0.51
"111","FA1",0.01
"112","FA1",1
"113","FA1",0.2
"114","FA1",0.36
"115","FA1",0.15
"116","FA1",0.5
"117","FA1",0.16
"118","FA1",0.94
"119","FA1",0.34
"120","FA1",0.53
"121","FA1",1
"122","FA1",0.65
"123","FA1",0.6
"124","FA1",0.87
"125","FA1",0.26
"126","FA1",0.18
"127","FA1",0.42
"128","FA1",0.46
"129","FA1",0.44
"130","FA1",0.9
"131","FA1",0.44
"132","FA1",0.23
"133","FA1",0.79
"134","FA1",0.41
"135","FA1",0.57
"136","FA1",0.22
"137","FA1",0.56
"138","FA1",0.68
"139","FA1",0.91
"140","FA1",0.75
"141","FA1",0.72
"142","FA1",1
"143","FA1",0.6
"144","FA1",0.17
"145","FA1",0.51
"146","FA1",0.66
"147","FA1",0.86
"148","FA1",0.94
"149","FA1",0.37
"150","FA1",0.53
"151","FA1",0.36
"152","FA1",0.35
"153","FA2",0.04
"154","FA2",1
"155","FA2",0.41
"156","FA2",0.65
"157","FA2",0.27
"158","FA2",0.14
"159","FA2",0.67
"160","FA2",0.89
"161","FA2",0.75
"162","FA2",0.88
"163","FA2",0.75
"164","FA2",0.42
"165","FA2",0.81
"166","FA2",0.64
"167","FA2",0.25
"168","FA2",0.39
"169","FA2",0.19
"170","FA2",0.71
"171","FA2",0.87
"172","FA2",0.67
"173","FA2",0.49
"174","FA2",0.24
"175","FA2",0.79
"176","FA2",0.93
"177","FA2",1
"178","FA2",0.84
"179","FA2",0.96
"180","FA2",0.52
"181","FA2",0.42
"182","FA2",0.69
"183","FA2",0.44
"184","FA2",0.03
"185","FA2",0.76
"186","FA2",0.8
"187","FA2",0.48
"188","FA2",0.64
"189","FA2",0.47
"190","FA2",0.98
"191","FA2",0.02
"192","FA2",1
"193","FA2",0.83
"194","FA2",0.34
"195","FA2",0.3
"196","FA2",0.76
