,tax1,tax2,r,Type,p,F1,F2
1,Acidobacteria-5CL,Acidobacteria-5CL,1,Near_soil_WT_August,1,FA1,FA1
2,Acidobacteria-5CL,CCU21OR,0.75,Near_soil_WT_August,0.04,FA1,FA2
3,Acidobacteria-5CL,iii1-15OR,0.25,Near_soil_WT_August,0.39,FA1,FA3
4,Acidobacteria-5CL,SolibacteralesOR,0.125,Near_soil_WT_August,0.77,FA1,FA4
5,Acidobacteria-5CL,Sva0725OR,-0.25,Near_soil_WT_August,0.52,FA1,FA5
6,Acidobacteria-5CL,43793OR,-0.535714286,Near_soil_WT_August,0.17,FA1,FA6
7,Acidobacteria-5CL,DS-100OR,-0.285714286,Near_soil_WT_August,0.4,FA1,FA7
8,Acidobacteria-5CL,PK29OR,-0.089285714,Near_soil_WT_August,0.85,FA1,FA8
9,Acidobacteria-5CL,RB41OR,0,Near_soil_WT_August,1,FA1,FA9
10,Acidobacteria-5CL,32-20OR,0,Near_soil_WT_August,1,FA1,FA10
11,Acidobacteria-5CL,DS-18OR,0.017857143,Near_soil_WT_August,0.95,FA1,FA11
12,Acidobacteria-5CL,SJA-36OR,0.071428571,Near_soil_WT_August,0.86,FA1,FA12
13,Acidobacteria-5CL,AcidimicrobialesOR,0.160714286,Near_soil_WT_August,0.71,FA1,FA13
14,Acidobacteria-5CL,MicrococcalesOR,-0.035714286,Near_soil_WT_August,0.91,FA1,FA14
15,Acidobacteria-5CL,0319-7L14OR,0.5,Near_soil_WT_August,0.2,FA1,FA15
16,Acidobacteria-5CL,GaiellalesOR,-0.339285714,Near_soil_WT_August,0.4,FA1,FA16
17,Acidobacteria-5CL,SolirubrobacteralesOR,0.357142857,Near_soil_WT_August,0.29,FA1,FA17
18,Acidobacteria-5CL,0319-6E2CL,-0.196428571,Near_soil_WT_August,0.68,FA1,FA18
19,Acidobacteria-5CL,SJA-22OR,0.214285714,Near_soil_WT_August,0.68,FA1,FA19
20,Acidobacteria-5CL,SphingobacterialesOR,0.017857143,Near_soil_WT_August,0.97,FA1,FA20
21,Acidobacteria-5CL,H39OR,0.410714286,Near_soil_WT_August,0.25,FA1,FA21
22,Acidobacteria-5CL,C0119CL,0.321428571,Near_soil_WT_August,0.34,FA1,FA22
23,Acidobacteria-5CL,[Roseiflexales]OR,0.214285714,Near_soil_WT_August,0.58,FA1,FA23
24,Acidobacteria-5CL,Ellin6529CL,0.178571429,Near_soil_WT_August,0.72,FA1,FA24
25,Acidobacteria-5CL,Gitt-GS-136CL,0.089285714,Near_soil_WT_August,0.79,FA1,FA25
26,Acidobacteria-5CL,JG30-KF-AS9OR,-0.071428571,Near_soil_WT_August,0.84,FA1,FA26
27,Acidobacteria-5CL,S085CL,0.142857143,Near_soil_WT_August,0.82,FA1,FA27
28,Acidobacteria-5CL,TK10CL,0.267857143,Near_soil_WT_August,0.61,FA1,FA28
29,Acidobacteria-5CL,B07_WMSP1OR,-0.428571429,Near_soil_WT_August,0.32,FA1,FA29
30,Acidobacteria-5CL,mle1-48OR,0.089285714,Near_soil_WT_August,0.85,FA1,FA30
31,Acidobacteria-5CL,JG30-KF-CM45OR,0.339285714,Near_soil_WT_August,0.37,FA1,FA31
32,Acidobacteria-5CL,IIbOR,-0.410714286,Near_soil_WT_August,0.3,FA1,FA32
33,Acidobacteria-5CL,Gemm-1CL,-0.214285714,Near_soil_WT_August,0.62,FA1,FA33
34,Acidobacteria-5CL,Gemm-2CL,0.25,Near_soil_WT_August,0.55,FA1,FA34
35,Acidobacteria-5CL,Gemm-3CL,-0.053571429,Near_soil_WT_August,0.87,FA1,FA35
36,Acidobacteria-5CL,Gemm-5CL,0.196428571,Near_soil_WT_August,0.64,FA1,FA36
37,Acidobacteria-5CL,GemmatimonadetesCL,0.071428571,Near_soil_WT_August,0.87,FA1,FA37
38,Acidobacteria-5CL,Ellin5290OR,0.017857143,Near_soil_WT_August,0.93,FA1,FA38
39,Acidobacteria-5CL,GemmatimonadalesOR,0.392857143,Near_soil_WT_August,0.31,FA1,FA39
40,Acidobacteria-5CL,N1423WLOR,-0.196428571,Near_soil_WT_August,0.71,FA1,FA40
41,Acidobacteria-5CL,MVS-107OR,0.392857143,Near_soil_WT_August,0.5,FA1,FA41
42,Acidobacteria-5CL,WD2101OR,0.160714286,Near_soil_WT_August,0.8,FA1,FA42
43,Acidobacteria-5CL,Pla4CL,-0.160714286,Near_soil_WT_August,0.69,FA1,FA43
44,Acidobacteria-5CL,DH61OR,-0.107142857,Near_soil_WT_August,0.84,FA1,FA44
45,Acidobacteria-5CL,Ellin329OR,0,Near_soil_WT_August,1,FA1,FA45
46,Acidobacteria-5CL,RhizobialesOR,0.285714286,Near_soil_WT_August,0.49,FA1,FA46
47,Acidobacteria-5CL,RhodospirillalesOR,0,Near_soil_WT_August,1,FA1,FA47
48,Acidobacteria-5CL,BetaproteobacteriaCL,-0.035714286,Near_soil_WT_August,0.94,FA1,FA48
49,Acidobacteria-5CL,Ellin6067OR,-0.339285714,Near_soil_WT_August,0.37,FA1,FA49
50,Acidobacteria-5CL,MND1OR,-0.107142857,Near_soil_WT_August,0.9,FA1,FA50
51,Acidobacteria-5CL,SC-I-84OR,0.071428571,Near_soil_WT_August,0.85,FA1,FA51
52,Acidobacteria-5CL,MIZ46OR,0.25,Near_soil_WT_August,0.44,FA1,FA52
53,Acidobacteria-5CL,MyxococcalesOR,-0.339285714,Near_soil_WT_August,0.41,FA1,FA53
54,Acidobacteria-5CL,[Pedosphaerales]OR,0.107142857,Near_soil_WT_August,0.78,FA1,FA54
55,Acidobacteria-5CL,Sediment-1OR,-0.178571429,Near_soil_WT_August,0.74,FA1,FA55
56,Acidobacteria-5CL,[Chthoniobacteraceae],0.357142857,Near_soil_WT_August,0.34,FA1,FA56
57,Acidobacteria-5CL,[Entotheonellaceae],0.482142857,Near_soil_WT_August,0.22,FA1,FA57
58,Acidobacteria-5CL,[Kouleothrixaceae],-0.035714286,Near_soil_WT_August,0.92,FA1,FA58
59,Acidobacteria-5CL,0319-6A21,0.517857143,Near_soil_WT_August,0.19,FA1,FA59
60,Acidobacteria-5CL,5B-12,-0.267857143,Near_soil_WT_August,0.53,FA1,FA60
61,Acidobacteria-5CL,A4b,-0.035714286,Near_soil_WT_August,0.91,FA1,FA61
62,Acidobacteria-5CL,Acetobacteraceae,-0.178571429,Near_soil_WT_August,0.66,FA1,FA62
63,Acidobacteria-5CL,AKIW874,0.071428571,Near_soil_WT_August,0.88,FA1,FA63
64,Acidobacteria-5CL,Bacillaceae,0.160714286,Near_soil_WT_August,0.75,FA1,FA64
65,Acidobacteria-5CL,Beijerinckiaceae,0.375,Near_soil_WT_August,0.34,FA1,FA65
66,Acidobacteria-5CL,Bradyrhizobiaceae,-0.321428571,Near_soil_WT_August,0.42,FA1,FA66
67,Acidobacteria-5CL,Burkholderiaceae,0.178571429,Near_soil_WT_August,0.6,FA1,FA67
68,Acidobacteria-5CL,C111,0.392857143,Near_soil_WT_August,0.31,FA1,FA68
69,Acidobacteria-5CL,Caulobacteraceae,-0.035714286,Near_soil_WT_August,0.91,FA1,FA69
70,Acidobacteria-5CL,Chitinophagaceae,0.107142857,Near_soil_WT_August,0.79,FA1,FA70
71,Acidobacteria-5CL,Chthonomonadaceae,-0.321428571,Near_soil_WT_August,0.42,FA1,FA71
72,Acidobacteria-5CL,Clostridiaceae,-0.428571429,Near_soil_WT_August,0.28,FA1,FA72
73,Acidobacteria-5CL,Comamonadaceae,-0.214285714,Near_soil_WT_August,0.61,FA1,FA73
74,Acidobacteria-5CL,Conexibacteraceae,-0.285714286,Near_soil_WT_August,0.48,FA1,FA74
75,Acidobacteria-5CL,Cystobacteraceae,-0.142857143,Near_soil_WT_August,0.75,FA1,FA75
76,Acidobacteria-5CL,Dolo_23,0.053571429,Near_soil_WT_August,0.91,FA1,FA76
77,Acidobacteria-5CL,EB1003,0.517857143,Near_soil_WT_August,0.15,FA1,FA77
78,Acidobacteria-5CL,EB1017,-0.5,Near_soil_WT_August,0.2,FA1,FA78
79,Acidobacteria-5CL,Ellin515,0.267857143,Near_soil_WT_August,0.57,FA1,FA79
80,Acidobacteria-5CL,Ellin517,-0.267857143,Near_soil_WT_August,0.56,FA1,FA80
81,Acidobacteria-5CL,Ellin5301,-0.142857143,Near_soil_WT_August,0.76,FA1,FA81
82,Acidobacteria-5CL,Ellin6075,-0.375,Near_soil_WT_August,0.35,FA1,FA82
83,Acidobacteria-5CL,Erythrobacteraceae,-0.160714286,Near_soil_WT_August,0.69,FA1,FA83
84,Acidobacteria-5CL,FFCH4570,0.035714286,Near_soil_WT_August,0.94,FA1,FA84
85,Acidobacteria-5CL,Frankiaceae,-0.071428571,Near_soil_WT_August,0.87,FA1,FA85
86,Acidobacteria-5CL,Gaiellaceae,0.178571429,Near_soil_WT_August,0.66,FA1,FA86
87,Acidobacteria-5CL,Gemmataceae,0.25,Near_soil_WT_August,0.57,FA1,FA87
88,Acidobacteria-5CL,Geodermatophilaceae,0.428571429,Near_soil_WT_August,0.27,FA1,FA88
89,Acidobacteria-5CL,Haliangiaceae,-0.071428571,Near_soil_WT_August,0.85,FA1,FA89
