OTU_id	WT1	WT2	WT3	WT4	WT5	WT6	WT7
FA1	9	0	0	0	0	0	0
FA2	26	9	1	10	1	14	17
FA3	0	0	0	6	0	0	4
FA4	10	15	5	7	1	11	2
FA5	7	3	4	11	0	2	13
FA6	0	2	0	0	0	0	3
FA7	45	6	18	49	13	22	32
FA8	1	4	10	23	9	13	10
FA9	113	93	129	135	28	84	94
FA10	145	86	147	187	51	139	105
FA11	2125	2120	1953	2526	1078	2136	1722
FA12	0	0	5	0	0	0	0
FA13	1	0	0	0	3	3	5
FA14	5	19	22	17	11	2	15
FA15	0	9	0	19	2	3	22
FA16	3	0	6	8	0	4	12
FA17	17	14	6	6	0	9	6
FA18	39	24	51	56	39	27	58
FA19	0	2	0	0	0	0	3
FA20	263	204	229	202	130	258	186
FA21	137	116	63	134	38	73	85
FA22	0	9	0	0	0	1	2
FA23	31	17	10	19	7	9	11
FA24	81	62	46	72	55	51	51
FA25	93	83	53	91	30	123	62
FA26	0	0	1	0	0	0	0
FA27	35	25	31	25	9	20	32
FA28	1804	1568	1416	1787	803	1649	1492
FA29	3	0	0	2	3	0	0
FA30	70	63	34	86	17	59	61
FA31	212	170	182	154	78	188	140
FA32	25	7	9	15	2	6	1
FA33	421	388	363	455	165	275	284
FA34	12	17	9	14	5	3	10
FA35	385	449	331	483	199	548	439
FA36	32	42	28	17	15	15	33
FA37	512	407	469	523	200	402	441
FA38	298	262	218	199	109	171	251
FA39	1264	1272	1113	1465	582	1183	1108
FA40	127	151	128	121	43	207	147
FA41	0	2	0	0	1	4	0
FA42	35	16	47	33	18	36	32
FA43	8	8	20	2	6	18	6
FA44	1	1	4	0	0	1	0
FA45	0	5	0	0	0	0	0
FA46	2	0	0	3	0	2	0
FA47	15	11	8	5	18	7	3
FA48	0	0	3	0	0	3	0
FA49	0	0	3	0	0	0	0
FA50	198	115	116	165	56	76	73
FA51	12	6	1	2	1	2	0
FA52	37	9	2	6	0	9	10
FA53	0	0	0	2	0	0	0
FA54	25	9	13	47	13	11	14
FA55	0	5	2	3	0	0	1
FA56	5	0	0	0	0	0	0
FA57	10	3	5	3	0	6	4
FA58	5	0	0	0	0	0	0
FA59	44	20	29	21	8	15	19
FA60	0	0	0	0	0	0	0
FA61	81	88	119	83	35	78	44
FA62	1	5	5	4	7	0	5
FA63	10	20	12	16	7	26	10
FA64	1	2	12	7	7	1	6
FA65	0	0	0	0	0	0	0
FA66	87	175	134	125	32	142	74
FA67	32	20	17	13	5	14	4
FA68	11	18	0	4	5	2	6
FA69	33	24	30	44	21	31	54
FA70	1790	1643	1394	1969	612	1620	1223
FA71	107	107	120	150	39	50	47
FA72	0	6	0	0	0	0	0
FA73	2	3	0	10	0	0	1
FA74	37	65	38	30	22	39	27
FA75	1	6	2	9	4	0	6
FA76	10	22	6	19	2	7	9
FA77	72	78	68	122	27	73	39
FA78	78	69	67	76	30	101	61
FA79	101	99	65	105	72	104	68
FA80	26	15	18	14	9	7	22
FA81	12	30	26	25	8	17	18
FA82	8	5	7	7	0	8	4
FA83	22	9	7	6	1	9	5
FA84	6	1	2	1	0	2	1
FA85	165	151	140	165	52	126	124
FA86	0	0	0	0	0	0	0
FA87	23	15	26	34	12	7	13
FA88	29	17	14	2	4	3	2
FA89	9	31	10	14	8	17	3
FA90	0	0	3	0	0	0	0
FA91	23	33	12	6	9	13	8
FA92	49	73	70	91	24	57	37
FA93	68	43	27	37	24	21	65
FA94	9	7	39	13	1	10	8
FA95	4	14	0	1	3	0	3
FA96	34	40	23	12	10	18	13
FA97	1	5	2	8	6	0	2
FA98	6	9	20	11	11	10	13
FA99	0	0	0	2	0	0	0
FA100	10	0	10	14	0	3	1
FA101	0	0	5	0	0	3	0
FA102	2	1	3	0	0	1	2
FA103	0	0	0	0	0	4	0
FA104	0	0	0	0	0	0	2
FA105	196	231	193	181	86	197	131
