SampleID	Type	Site	Year	Plantstage	Line	Genotype2	Genotype	Treatment
TSRHZ1	Rhizosphere	Field	2016	7leafstage	414-2	pks40	RNAi	NA
TSRHZ2	Rhizosphere	Field	2016	7leafstage	414-2	pks40	RNAi	NA
TSRHZ3	Rhizosphere	Field	2016	7leafstage	414-2	pks40	RNAi	NA
TSRHZ4	Rhizosphere	Field	2016	7leafstage	414-2	pks40	RNAi	NA
TSRHZ5	Rhizosphere	Field	2016	7leafstage	414-2	pks40	RNAi	NA
TSRHZ6	Rhizosphere	Field	2016	7leafstage	621-1	pks44	RNAi	NA
TSRHZ7	Rhizosphere	Field	2016	7leafstage	621-1	pks44	RNAi	NA
TSRHZ8	Rhizosphere	Field	2016	7leafstage	621-1	pks44	RNAi	NA
TSRHZ9	Rhizosphere	Field	2016	7leafstage	621-1	pks44	RNAi	NA
TSRHZ10	Rhizosphere	Field	2016	7leafstage	621-1	pks44	RNAi	NA
TSRHZ11	Rhizosphere	Field	2016	7leafstage	WT	WT	WT	NA
TSRHZ12	Rhizosphere	Field	2016	7leafstage	WT	WT	WT	NA
TSRHZ13	Rhizosphere	Field	2016	7leafstage	WT	WT	WT	NA
TSRHZ14	Rhizosphere	Field	2016	7leafstage	WT	WT	WT	NA
TSRHZ15	Rhizosphere	Field	2016	7leafstage	WT	WT	WT	NA
TSRHZ16	Rhizosphere	Field	2016	7leafstage	WT	WT	WT	NA
TSRHZ17	Rhizosphere	Field	2016	7leafstage	WT	WT	WT	NA
TSRHZ18	Rhizosphere	Field	2016	Boot	414-2	pks40	RNAi	NA
TSRHZ19	Rhizosphere	Field	2016	Boot	414-2	pks40	RNAi	NA
TSRHZ20	Rhizosphere	Field	2016	Boot	414-2	pks40	RNAi	NA
TSRHZ21	Rhizosphere	Field	2016	Boot	414-2	pks40	RNAi	NA
TSRHZ22	Rhizosphere	Field	2016	Boot	414-2	pks40	RNAi	NA
TSRHZ23	Rhizosphere	Field	2016	Boot	621-1	pks44	RNAi	NA
TSRHZ24	Rhizosphere	Field	2016	Boot	621-1	pks44	RNAi	NA
TSRHZ25	Rhizosphere	Field	2016	Boot	621-1	pks44	RNAi	NA
TSRHZ26	Rhizosphere	Field	2016	Boot	621-1	pks44	RNAi	NA
TSRHZ27	Rhizosphere	Field	2016	Boot	621-1	pks44	RNAi	NA
TSRHZ28	Rhizosphere	Field	2016	Boot	WT	WT	WT	NA
TSRHZ29	Rhizosphere	Field	2016	Boot	WT	WT	WT	NA
TSRHZ30	Rhizosphere	Field	2016	Boot	WT	WT	WT	NA
TSRHZ31	Rhizosphere	Field	2016	Boot	WT	WT	WT	NA
TSRHZ32	Rhizosphere	Field	2016	Boot	WT	WT	WT	NA
TSRHZ33	Rhizosphere	Field	2016	Boot	WT	WT	WT	NA
TSRHZ34	Rhizosphere	Field	2016	Boot	WT	WT	WT	NA
TSRHZ35	Rhizosphere	Field	2016	Grainfill	414-2	pks40	RNAi	NA
TSRHZ36	Rhizosphere	Field	2016	Grainfill	414-2	pks40	RNAi	NA
TSRHZ37	Rhizosphere	Field	2016	Grainfill	414-2	pks40	RNAi	NA
TSRHZ38	Rhizosphere	Field	2016	Grainfill	414-2	pks40	RNAi	NA
TSRHZ39	Rhizosphere	Field	2016	Grainfill	414-2	pks40	RNAi	NA
TSRHZ40	Rhizosphere	Field	2016	Grainfill	621-1	pks44	RNAi	NA
TSRHZ41	Rhizosphere	Field	2016	Grainfill	621-1	pks44	RNAi	NA
TSRHZ42	Rhizosphere	Field	2016	Grainfill	621-1	pks44	RNAi	NA
TSRHZ43	Rhizosphere	Field	2016	Grainfill	621-1	pks44	RNAi	NA
